"zona" "año" "CPUEM"
"1" 1 1998 456.100826936808
"2" 1 1999 72.3739019388225
"3" 1 2014 112.810875555019
"4" 1 2015 120.199321949112
"5" 1 2016 110.505942493018
"6" 1 2017 108.188735951379
"7" 1 2018 27.4339379270504
"8" 1 2019 86.6732684393393
"9" 1 2020 94.2934423384542
"10" 1 2021 129.3328709013
"11" 1 2022 126.671792188086
"12" 2 2000 83.0473208521571
"13" 2 2004 150.791678541492
"14" 2 2005 433.303469051799
"15" 2 2006 156.397295009247
"16" 2 2007 86.6739892559834
"17" 2 2008 139.761655856655
"18" 2 2009 279.90867006062
"19" 2 2010 238.499404155495
"20" 2 2012 119.136086134173
"21" 2 2013 70.9825925037353
"22" 2 2014 19.3110731713537
"23" 2 2015 33.3344175073249
"24" 2 2016 30.9230257132285
"25" 2 2017 33.2066283493002
"26" 2 2018 28.5274398952812
"27" 2 2019 43.0390291910251
"28" 2 2020 20.1620241913226
"29" 2 2021 75.0232585994375
"30" 2 2022 89.9645354297843
"31" 3 1998 72.0915652733456
"32" 3 2006 211.330214947015
"33" 3 2010 247.508412973265
"34" 3 2011 122.843915640596
"35" 3 2012 367.175195887219
"36" 3 2013 73.1952556889864
"37" 3 2014 23.7727502733153
"38" 3 2015 33.6298769207173
"39" 3 2016 39.0006392061774
"40" 3 2017 54.7318041709193
"41" 3 2018 34.6579022019711
"42" 3 2019 71.5613256357566
"43" 3 2020 24.1943167021082
"44" 3 2021 417.783973364067
"45" 3 2022 216.176271298582
"46" 4 2001 40.3846153846154
"47" 4 2002 13.5416666666667
"48" 4 2003 232.870151841936
"49" 4 2004 194.044629619497
"50" 4 2005 271.315914764914
"51" 4 2006 278.944975545608
"52" 4 2007 221.770129491503
"53" 4 2008 276.540992056455
"54" 4 2009 316.890734380534
"55" 4 2012 443.343273835941
"56" 4 2013 124.323871341004
"57" 4 2015 247.470159945075
"58" 4 2016 205.178446524738
"59" 4 2017 134.894868920417
"60" 4 2018 171.978562495418
"61" 4 2019 232.27073909783
"62" 4 2020 111.108435470954
"63" 4 2021 134.411905992959
"64" 4 2022 250.651771525189
