;CAPTURA;DFP;ANO;MESR;CATHP;AREA;CPUE
1;5;3;1986;10;3;2;166.666.666.666.667
2;17;1;1986;7;3;2;17
3;18;2;1986;7;3;2;9
4;22;NA;1986;6;3;2;NA
5;28;3;1986;7;3;2;933.333.333.333.333
6;50;NA;1986;8;2;2;NA
7;50;1;1986;12;3;2;50
8;50;4;1986;10;2;2;12.5
9;66;1;1986;7;2;3;66
10;69;1;1986;4;5;3;69
11;70;1;1986;6;3;2;70
12;74;2;1986;7;3;3;37
13;78;2;1986;6;5;3;39
14;80;2;1986;6;5;2;40
15;80;2;1986;7;6;2;40
16;83;2;1986;7;2;3;41.5
17;100;1;1986;6;3;2;100
18;100;1;1986;12;3;2;100
19;100;1;1986;8;2;2;100
20;100;1;1986;4;7;4;100
21;100;1;1986;6;4;3;100
22;100;2;1986;9;2;2;50
23;100;2;1986;8;8;2;50
24;100;3;1986;7;3;2;333.333.333.333.333
25;100;3;1986;9;NA;2;333.333.333.333.333
26;100;4;1986;10;6;2;25
27;100;4;1986;12;2;2;25
28;107;1;1986;7;2;2;107
29;120;2;1986;6;3;2;60
30;120;2;1986;10;6;2;60
31;130;2;1986;6;5;2;65
32;130;2;1986;6;3;2;65
33;131;3;1986;12;5;2;436.666.666.666.667
34;136;3;1986;9;3;2;453.333.333.333.333
35;142;4;1986;12;2;3;35.5
36;143;4;1986;4;6;4;35.75
37;150;1;1986;7;3;2;150
38;150;1;1986;8;2;2;150
39;150;2;1986;9;1;2;75
40;150;3;1986;5;5;3;50
41;150;3;1986;10;4;2;50
42;156;2;1986;12;3;2;78
43;160;3;1986;6;3;2;533.333.333.333.333
44;160;3;1986;6;3;2;533.333.333.333.333
45;170;NA;1986;7;3;2;NA
46;180;1;1986;7;3;2;180
47;180;1;1986;7;3;2;180
48;180;1;1986;8;3;2;180
49;180;1;1986;8;3;2;180
50;180;3;1986;7;3;2;60
51;195;6;1986;2;3;2;32.5
52;196;5;1986;11;5;3;39.2
53;198;2;1986;8;5;3;99
54;200;1;1986;12;3;2;200
55;200;1;1986;7;2;2;200
56;200;1;1986;7;3;2;200
57;200;1;1986;5;5;3;200
58;200;1;1986;6;3;2;200
59;200;1;1986;8;3;2;200
60;200;2;1986;12;2;2;100
61;200;2;1986;6;3;2;100
62;200;2;1986;9;3;2;100
63;200;2;1986;12;8;2;100
64;200;2;1986;12;4;2;100
65;200;2;1986;12;5;2;100
66;200;2;1986;7;3;2;100
67;200;2;1986;10;3;2;100
68;200;2;1986;11;2;2;100
69;200;2;1986;11;3;2;100
70;200;3;1986;7;1;2;666.666.666.666.667
71;200;3;1986;12;3;2;666.666.666.666.667
72;200;3;1986;12;3;2;666.666.666.666.667
73;200;3;1986;9;NA;2;666.666.666.666.667
74;200;3;1986;9;3;2;666.666.666.666.667
75;200;3;1986;10;2;2;666.666.666.666.667
76;200;5;1986;9;3;2;40
77;200;9;1986;4;6;4;222.222.222.222.222
78;212;3;1986;12;2;3;706.666.666.666.667
79;220;3;1986;8;3;2;733.333.333.333.333
80;230;2;1986;10;4;3;115
81;230;3;1986;12;3;2;766.666.666.666.667
82;237;1;1986;12;3;2;237
83;244;2;1986;12;5;3;122
84;249;7;1986;12;3;3;355.714.285.714.286
85;250;NA;1986;6;2;2;NA
86;250;1;1986;7;3;2;250
87;250;1;1986;7;2;2;250
88;250;1;1986;8;3;2;250
89;250;2;1986;7;2;3;125
90;250;2;1986;10;4;3;125
91;250;2;1986;10;4;3;125
92;250;2;1986;10;6;2;125
93;250;5;1986;12;4;3;50
94;260;1;1986;7;3;2;260
95;260;1;1986;9;3;2;260
96;260;3;1986;6;3;2;866.666.666.666.667
97;260;4;1986;11;2;2;65
98;265;5;1986;11;3;3;53
99;270;3;1986;12;3;2;90
100;270;4;1986;9;3;2;67.5
101;280;1;1986;8;3;2;280
102;280;2;1986;10;4;3;140
103;280;3;1986;7;3;2;933.333.333.333.333
104;290;4;1986;7;3;2;72.5
105;294;2;1986;4;3;4;147
106;300;NA;1986;7;3;2;NA
107;300;1;1986;7;3;2;300
108;300;1;1986;7;2;2;300
109;300;1;1986;6;3;2;300
110;300;1;1986;7;2;2;300
111;300;1;1986;5;5;3;300
112;300;1;1986;5;7;3;300
113;300;1;1986;6;2;3;300
114;300;1;1986;7;3;2;300
115;300;1;1986;8;3;2;300
116;300;1;1986;6;3;2;300
117;300;1;1986;8;1;2;300
118;300;2;1986;7;3;2;150
119;300;2;1986;10;2;3;150
120;300;2;1986;10;2;3;150
121;300;2;1986;12;5;2;150
122;300;2;1986;10;5;3;150
123;300;2;1986;6;4;3;150
124;300;2;1986;10;2;3;150
125;300;2;1986;6;6;2;150
126;300;2;1986;7;3;2;150
127;300;2;1986;11;3;2;150
128;300;2;1986;9;4;2;150
129;300;2;1986;9;4;2;150
130;300;2;1986;10;3;2;150
131;300;3;1986;10;3;2;100
132;300;3;1986;6;3;2;100
133;300;3;1986;9;5;4;100
134;300;3;1986;10;3;2;100
135;300;3;1986;10;4;2;100
136;300;3;1986;10;3;2;100
137;300;3;1986;9;5;3;100
138;300;3;1986;11;5;3;100
139;300;3;1986;11;6;2;100
140;300;3;1986;10;3;2;100
141;300;3;1986;10;3;2;100
142;300;3;1986;9;NA;2;100
143;300;3;1986;10;3;2;100
144;300;3;1986;9;3;2;100
145;300;3;1986;11;3;2;100
146;300;4;1986;11;3;2;75
147;300;4;1986;11;3;3;75
148;300;5;1986;11;7;3;60
149;300;5;1986;9;4;2;60
150;300;5;1986;9;3;2;60
151;300;12;1986;10;3;2;25
152;300;15;1986;11;1;2;20
153;306;4;1986;10;2;2;76.5
154;310;NA;1986;7;3;2;NA
155;317;NA;1986;4;1;3;NA
156;317;4;1986;12;2;3;79.25
157;326;2;1986;10;3;3;163
158;328;2;1986;10;5;3;164
159;342;3;1986;9;5;3;114
160;347;3;1986;11;3;3;115.666.666.666.667
161;350;1;1986;7;2;2;350
162;350;1;1986;7;2;2;350
163;350;2;1986;8;2;3;175
164;350;3;1986;11;3;2;116.666.666.666.667
165;354;2;1986;6;3;3;177
166;356;3;1986;12;5;3;118.666.666.666.667
167;361;2;1986;10;5;3;180.5
168;378;2;1986;12;3;3;189
169;380;1;1986;7;3;2;380
170;380;2;1986;6;5;3;190
171;380;2;1986;7;3;2;190
172;380;3;1986;11;5;3;126.666.666.666.667
173;381;3;1986;10;5;2;127
174;387;2;1986;7;5;3;193.5
175;390;2;1986;12;3;3;195
176;400;NA;1986;8;3;2;NA
177;400;1;1986;7;3;2;400
178;400;1;1986;6;3;2;400
179;400;1;1986;5;5;3;400
180;400;1;1986;5;2;3;400
181;400;1;1986;4;2;4;400
182;400;1;1986;10;1;2;400
183;400;2;1986;6;3;2;200
184;400;2;1986;6;3;3;200
185;400;2;1986;9;4;2;200
186;400;2;1986;11;3;2;200
187;400;2;1986;7;3;2;200
188;400;2;1986;6;3;2;200
189;400;2;1986;9;2;2;200
190;400;2;1986;11;3;2;200
191;400;3;1986;9;2;3;133.333.333.333.333
192;400;3;1986;9;7;3;133.333.333.333.333
193;400;3;1986;12;5;3;133.333.333.333.333
194;400;3;1986;12;3;3;133.333.333.333.333
195;400;3;1986;10;3;2;133.333.333.333.333
196;400;3;1986;5;4;4;133.333.333.333.333
197;400;3;1986;10;3;2;133.333.333.333.333
198;400;3;1986;10;1;2;133.333.333.333.333
199;400;3;1986;10;3;2;133.333.333.333.333
200;400;4;1986;12;3;3;100
201;400;4;1986;10;3;2;100
202;400;4;1986;10;3;2;100
203;400;7;1986;9;3;2;571.428.571.428.571
204;400;9;1986;10;3;2;444.444.444.444.444
205;407;2;1986;7;7;4;203.5
206;411;2;1986;4;3;3;205.5
207;412;4;1986;11;5;3;103
208;418;1;1986;8;6;2;418
209;429;2;1986;11;3;2;214.5
210;430;6;1986;8;6;2;716.666.666.666.667
211;436;2;1986;10;4;3;218
212;445;1;1986;5;1;3;445
213;445;2;1986;7;3;4;222.5
214;445;2;1986;10;5;3;222.5
215;450;1;1986;7;2;2;450
216;450;1;1986;7;3;2;450
217;450;2;1986;7;3;2;225
218;450;3;1986;12;3;3;150
219;450;3;1986;9;NA;3;150
220;450;4;1986;10;5;2;112.5
221;450;4;1986;12;3;2;112.5
222;450;4;1986;12;5;3;112.5
223;450;4;1986;9;5;4;112.5
224;450;4;1986;11;5;3;112.5
225;453;2;1986;9;5;3;226.5
226;460;1;1986;7;3;2;460
227;460;2;1986;10;NA;3;230
228;467;2;1986;7;3;3;233.5
229;470;1;1986;7;3;2;470
230;470;3;1986;9;4;2;156.666.666.666.667
231;472;2;1986;10;3;3;236
232;476;1;1986;7;5;3;476
233;480;4;1986;12;5;3;120
234;483;4;1986;11;5;3;120.75
235;484;2;1986;12;5;3;242
236;488;2;1986;9;3;3;244
237;499;3;1986;12;5;3;166.333.333.333.333
238;500;1;1986;7;3;2;500
239;500;1;1986;5;4;3;500
240;500;1;1986;5;4;3;500
241;500;1;1986;7;3;2;500
242;500;1;1986;9;4;2;500
243;500;2;1986;6;4;3;250
244;500;2;1986;6;7;3;250
