"año" "dfpmean"
"1" 1997 0
"2" 1998 8.39880560542586
"3" 1999 11.1727666241766
"4" 2000 24.5480792651327
"5" 2001 12.7283012820513
"6" 2002 51.9275256593866
"7" 2003 12.6980613425926
"8" 2004 17.0855690192746
"9" 2005 19.835427268872
"10" 2006 25.561395582329
"11" 2007 22.1620801033585
"12" 2008 26.2796818996416
"13" 2009 NA
"14" 2010 22.6353427895978
"15" 2011 17.475142694064
"16" 2012 21.3156944444432
"17" 2013 18.3032189542471
"18" 2014 16.4796068075115
"19" 2015 16.5732117369343
"20" 2016 17.9761709071854
"21" 2017 16.4415798611108
"22" 2018 15.6969633569741
"23" 2019 16.8929969526491
"24" 2020 18.8368558573657
"25" 2021 15.5185936268715
"26" 2022 13.9858747044914
